institution,school_type,state,testing_info_link,rtc_model,last_updated,testing,testing_type,test_initial,test_recurring,test_freq,test_vendor,test_pool,endowment,enrollment,endowment_per_fte_enrollment
University of Nebraska — Omaha,Public,NE,,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
"University of Nevada, Las Vegas",Public,NV,https://www.unlv.edu/coronavirus/faculty,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
"University of Nevada, Reno",Public,NV,https://www.unr.edu/tlt/instructional-preparedness,Proposing a hybrid model,7/29/2020,TRUE,Symptomatic,FALSE,FALSE,0,Washoe County Health District and Student Health,,#N/A,#N/A,#N/A
University of New England,Private,ME,https://www.une.edu/news/2020/university-new-england-announces-plans-open-maine-campuses-fall-semester,Planning for in-person,7/29/2020,TRUE,Symptomatic,TRUE,TRUE,,MaineHealth NorDx and Broad Institute,,37613784,8010,5160
University of New Hampshire,Public,NH,https://www.unh.edu/coronavirus,Planning for in-person,7/29/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,2,ConvenientMD and Quest,,#N/A,#N/A,#N/A
University of New Haven,Private,CT,https://www.newhaven.edu/coronavirus-info.php#notifications,Considering a range of scenarios,7/29/2020,TRUE,Unknown,TRUE,TRUE,,City of West Haven,,72023966,6867,11231
University of New Mexico,Public,NM,https://bringbackthepack.unm.edu/index.html,Proposing a hybrid model,7/29/2020,FALSE,No voluntary testing,FALSE,Unknown,,na,FALSE,#N/A,#N/A,#N/A
University of North Carolina at Asheville,Public,NC,https://drive.google.com/file/d/1CZiMK05jAMvsj0guDjJ19uK8x6RfP7XT/view,Planning for in-person,7/29/2020,TRUE,Unknown,FALSE,FALSE,0,Student Health,,49071750,3762,14077
University of North Carolina at Chapel Hill,Public,NC,https://carolinatogether.unc.edu/university-guideline-for-health-monitoring/,Planning for in-person,7/29/2020,TRUE,Symptomatic,FALSE,FALSE,0,Student Health,,3307663198,30011,113191
University of North Carolina at Charlotte,Public,NC,https://emergency.uncc.edu/health-advisories/coronavirus-information/coronavirus-faqs,Planning for in-person,7/29/2020,TRUE,Unknown,FALSE,FALSE,0,Student Health,,201641713,29710,7744
University of North Carolina at Greensboro,Public,NC,https://update.uncg.edu/faq/#fall,Proposing a hybrid model,7/29/2020,TRUE,Symptomatic,FALSE,FALSE,0,Student Health,,292034124,20106,16085
